,Data,TMAX,TMIN,PRCP
288,198009,240,160,0
289,198010,200,160,14
290,198011,250,130,268
291,198012,255,140,232
292,198101,-9999,-9999,0
293,198106,-9999,-9999,0
294,198110,-9999,-9999,0
295,198201,-9999,-9999,-9999
296,198203,-9999,-9999,-9999
297,198205,-9999,-9999,-9999
298,198301,-9999,-9999,-9999
299,198501,-9999,-9999,-9999
300,198607,-9999,-9999,-9999
301,198608,-9999,-9999,-9999
302,198609,-9999,-9999,-9999
303,198610,-9999,-9999,-9999
304,198611,-9999,-9999,-9999
305,198701,-9999,-9999,-9999
306,198703,-9999,-9999,-9999
307,198704,-9999,-9999,-9999
308,198705,-9999,-9999,-9999
309,198706,-9999,-9999,-9999
310,198707,306,167,-9999
311,198708,-9999,-9999,10
312,198802,-9999,-9999,-9999
313,198803,309,-9999,-9999
314,198804,316,147,0
315,198805,-9999,-9999,0
316,198806,-9999,-9999,-9999
317,198807,257,135,-9999
318,198808,-9999,-9999,43
319,198809,-9999,-9999,-9999
320,198903,297,89,-9999
321,198904,322,152,0
322,198905,306,171,0
323,198906,328,157,0
324,198908,-9999,-9999,0
325,198910,-9999,-9999,-9999
326,198911,280,130,-9999
327,198912,280,138,0
328,199001,-9999,-9999,0
329,199002,296,139,0
330,199003,290,116,0
331,199004,-9999,147,0
332,199005,350,168,0
333,199006,330,169,0
334,199007,270,159,0
335,199008,-9999,140,343
336,199009,289,127,25
337,199010,-9999,140,33
338,199011,250,122,0
339,199012,250,115,0
340,199101,-9999,133,0
341,199102,285,123,0
342,199103,306,116,0
343,199104,-9999,157,0
344,199105,326,167,0
345,199106,336,172,0
346,199107,256,145,0
347,199108,300,157,434
348,199109,288,153,0
349,199110,298,166,46
350,199111,274,152,10
351,199112,-9999,121,0
352,199201,-9999,-9999,0
353,199202,164,107,0
354,199203,-9999,141,15
355,199204,320,162,0
356,199205,330,170,13
357,199206,266,145,0
358,199207,300,140,0
359,199208,292,102,25
360,199209,290,160,86
361,199210,260,131,0
362,199211,277,140,0
363,199212,260,133,3
364,199301,-9999,108,0
365,199302,-9999,120,0
366,199303,308,135,0
367,199304,333,151,0
368,199305,305,160,0
369,199306,360,178,0
370,199307,-9999,152,0
371,199308,-9999,155,185
372,199310,-9999,-9999,0
373,199311,-9999,147,0
374,199312,-9999,-9999,0
375,199401,-9999,96,0
376,199402,271,125,0
377,199403,300,96,0
378,199404,-9999,140,0
379,199405,348,146,0
380,199406,-9999,187,0
381,199407,275,167,0
382,199408,282,137,0
383,199409,253,142,48
384,199410,-9999,140,0
385,199411,273,126,76
386,199412,-9999,126,5
387,199501,-9999,110,8
388,199502,-9999,124,5
389,199503,301,105,0
390,199504,-9999,136,61
391,199505,320,143,0
392,199506,-9999,124,0
393,199507,214,90,0
394,199508,266,136,0
395,199509,-9999,114,201
396,199510,-9999,134,84
397,199511,284,-9999,183
398,199512,-9999,90,0
399,199601,-9999,106,79
400,199602,252,0,0
401,199603,-9999,-9999,3
402,199604,-9999,130,0
403,199605,308,135,0
404,199606,-9999,90,0
405,199607,-9999,161,38
406,199608,-9999,-9999,130
407,199609,270,-9999,13
408,199610,260,141,0
409,199611,-9999,152,0
410,199612,270,-9999,5
411,199701,-9999,123,0
412,199702,285,-9999,0
413,199703,-9999,115,0
414,199704,-9999,-9999,0
415,199705,-9999,-9999,0
416,199706,-9999,-9999,0
417,199707,-9999,-9999,0
418,199708,-9999,-9999,10
419,199709,-9999,-9999,99
420,199710,290,-9999,0
421,199711,293,168,86
422,199712,283,171,36
423,199801,-9999,114,0
424,199802,272,-9999,0
425,199803,315,91,0
426,199804,353,131,0
427,199805,-9999,162,0
428,199806,359,-9999,0
429,199807,301,201,0
430,199909,-9999,166,0
431,199910,268,-9999,127
432,199911,-9999,146,0D
433,199912,248,-9999,351
434,200001,-9999,78,130D
435,200002,-9999,-9999,-9999
436,200003,290,-9999,-9999
437,200004,335,125,0
438,200005,312,147,0
439,200006,-9999,146,0
440,200007,284,-9999,-9999
441,200008,299,157,0
442,200009,276,156,0
443,200010,272,116,0
444,200011,-9999,138,-9999
445,200012,272,-9999,38
446,200101,-9999,115,104
447,200102,-9999,-9999,0
448,200103,288,-9999,0
449,200104,326,139,-9999
450,200105,-9999,132,0
451,200106,310,-9999,0
452,200107,266,159,0
453,200108,278,142,0
454,200109,273,161,18
455,200110,264,144,10
456,200111,-9999,117,0
457,200112,283,-9999,678
458,200201,-9999,107,15
459,200202,294,-9999,0
460,200203,309,117,0
461,200204,349,125,-9999
462,200205,357,179,0
463,200206,295,182,0
464,200207,-9999,144,0
465,200208,299,-9999,0
466,200209,299,150,56
467,200210,276,152,140
468,200211,-9999,133,10
469,200212,271,-9999,0
470,200301,-9999,117,0
471,200302,-9999,-9999,0
472,200303,-9999,-9999,0
473,200304,-9999,-9999,0
474,200305,352,-9999,0
475,200306,345,174,0
476,200307,280,178,0
477,200308,324,139,0
478,200309,286,146,0
479,200310,280,146,-9999
480,200311,299,130,0
481,200312,266,108,56
482,200401,-9999,80,0
483,200402,-9999,-9999,86
484,200403,-9999,-9999,0
485,200404,-9999,-9999,-9999
486,200405,-9999,-9999,0
487,200406,302,-9999,-9999
488,200407,-9999,146,399
489,200408,-9999,-9999,0
490,200409,-9999,-9999,0
491,200410,-9999,-9999,0
492,200411,-9999,-9999,183
493,200412,300,-9999,0
494,200501,300,146,0
495,200502,-9999,122,0
496,200503,343,-9999,-9999
497,200504,366,124,0
498,200505,364,148,0
499,200506,-9999,167,0
500,200507,-9999,-9999,3
501,200508,282,-9999,-9999
502,200509,-9999,157,81
503,200510,-9999,-9999,5
504,200511,308,-9999,8
505,200512,299,110,18
506,200601,-9999,118,0
507,200602,323,-9999,0
508,200603,315,131,0
509,200604,371,138,0
510,200605,341,178,0
511,200606,298,138,0
512,200607,-9999,149,0
513,200608,296,-9999,0
514,200609,291,138,0
515,200610,283,155,5
516,200611,-9999,144,0
517,200701,-9999,-9999,-9999
518,200702,-9999,-9999,0
519,200703,-9999,-9999,0
520,200704,-9999,-9999,0
521,200705,-9999,-9999,0
522,200706,-9999,-9999,-9999
523,200707,-9999,-9999,0
524,200708,-9999,-9999,0
525,200709,-9999,-9999,84
526,200710,305,-9999,0
527,200711,-9999,151,3
528,200712,-9999,-9999,0
529,200801,-9999,-9999,0
530,200802,313,-9999,56
531,200803,-9999,117,0
532,200804,-9999,-9999,0
533,200806,-9999,-9999,0
534,200807,-9999,-9999,0
535,200808,-9999,-9999,0
536,200809,-9999,-9999,0
537,200810,293,-9999,0
538,200901,-9999,120,0
539,200902,-9999,-9999,43
540,200903,336,-9999,203
541,200904,-9999,133,-9999
542,200905,-9999,-9999,0
543,200907,280,-9999,0
544,200908,-9999,138,0
545,200909,-9999,-9999,0
546,200910,-9999,-9999,0
547,200911,-9999,-9999,0
548,200912,300,-9999,0
549,201001,-9999,134,8
550,201002,273,-9999,0
551,201003,-9999,144,498
552,201004,-9999,-9999,0
553,201005,-9999,-9999,81
554,201006,-9999,-9999,0
555,201007,-9999,-9999,-9999
556,201008,-9999,-9999,-9999
557,201010,-9999,-9999,-9999
558,201011,313,-9999,-9999
559,201012,299,163,0
560,201101,-9999,138,-9999
561,201102,-9999,-9999,0
562,201103,-9999,-9999,25
563,201104,350,-9999,0
564,195504,310,168,0
565,195505,310,150,0
566,195506,290,160,0
567,195507,270,160,0
568,195508,230,150,0
569,195509,200,150,-9999
570,195510,260,150,0
571,195511,270,150,0
572,195512,250,140,0
573,195601,240,130,-9999
574,195602,250,100,0
575,195603,300,120,-9999
576,195604,310,140,-9999
577,195605,270,160,185
578,195606,260,140,0
579,195607,250,130,0
580,195608,240,150,0
581,195609,250,140,0
582,195610,260,160,0
583,195612,240,150,0
584,195701,250,140,0
585,195702,280,110,0
586,195703,280,140,0
587,195704,290,130,435
588,195705,310,160,0
589,195706,280,170,182
590,195707,270,170,89
591,195708,270,170,214
592,195710,240,160,0
593,195711,280,140,0
594,195712,240,160,0
595,195801,220,90,0
596,195802,250,100,0
597,195803,290,100,0
598,195804,320,150,0
599,195805,320,160,23
600,195806,290,140,0
601,195807,260,160,0
602,195808,270,160,55
603,195809,250,160,0
604,195810,270,160,0
605,195811,250,150,0
606,195812,250,160,0
607,195901,200,130,0
608,195902,270,90,0
609,195903,280,150,0
610,195904,280,150,0
611,195905,310,160,114
612,195906,290,130,42
613,195907,260,180,0
614,195908,250,150,0
615,195909,250,150,0
616,195910,250,150,0
617,195911,260,150,0
618,195912,250,140,0
619,196001,270,110,0
620,196002,250,140,0
621,196003,280,130,7
622,196004,300,150,553
623,196005,330,150,0
624,196006,320,180,50
625,196007,270,190,473
626,196008,270,180,547
627,196009,250,150,0
628,196010,270,160,0
629,196011,260,160,0
630,196012,240,130,0
631,196101,260,100,0
632,196102,260,140,0
633,196103,300,140,85
634,196104,310,160,0
635,196105,320,160,98
636,196106,300,160,0
637,196107,270,150,0
638,196108,250,160,0
639,196109,250,140,0
640,196110,250,150,0
641,196111,270,140,0
